-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     749.833us         0.03%     749.833us      12.094us           0 B           0 B           0 B           0 B            62            --  
                                       cuLaunchKernelEx         1.19%      29.243ms         1.19%      29.243ms      18.231us     735.778us         0.03%     735.778us       0.459us           0 B           0 B           0 B           0 B          1604            --  
                                            aten::index         0.62%      15.280ms         1.01%      24.803ms     100.011us     624.129us         0.02%     624.129us       2.517us           0 B           0 B       7.49 MB       7.49 MB           248            --  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     510.852us         0.02%     510.852us       1.228us           0 B           0 B           0 B           0 B           416            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     494.858us         0.02%     494.858us       1.596us           0 B           0 B           0 B           0 B           310            --  
                                   _C::rotary_embedding         0.17%       4.214ms         0.28%       6.987ms      41.100us     466.911us         0.02%     466.911us       2.747us           0 B           0 B           0 B           0 B           170            --  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     355.071us         0.01%     355.071us       6.018us           0 B           0 B           0 B           0 B            59            --  
                          _prepare_dflash_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     318.720us         0.01%     318.720us       5.141us           0 B           0 B           0 B           0 B            62            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     299.747us         0.01%     299.747us       2.417us           0 B           0 B           0 B           0 B           124            --  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     292.872us         0.01%     292.872us       1.362us           0 B           0 B           0 B           0 B           215            --  
                                           _C::rms_norm         0.14%       3.548ms         0.26%       6.254ms      50.437us     269.823us         0.01%     269.823us       2.176us           0 B           0 B           0 B           0 B           124            --  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     258.336us         0.01%     258.336us       4.167us           0 B           0 B           0 B           0 B            62            --  
                                              aten::cat         0.19%       4.670ms         0.31%       7.656ms      61.742us     218.821us         0.01%     218.821us       1.765us         992 B         992 B      65.39 MB      65.39 MB           124            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     218.821us         0.01%     218.821us       3.529us           0 B           0 B           0 B           0 B            62            --  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     208.546us         0.01%     208.546us       3.364us           0 B           0 B           0 B           0 B            62            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     203.328us         0.01%     203.328us       3.279us           0 B           0 B           0 B           0 B            62            --  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     202.398us         0.01%     202.398us       1.632us           0 B           0 B           0 B           0 B           124            --  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     187.650us         0.01%     187.650us       3.027us           0 B           0 B           0 B           0 B            62            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     180.356us         0.01%     180.356us       1.454us           0 B           0 B           0 B           0 B           124            --  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     173.059us         0.01%     173.059us       2.791us           0 B           0 B           0 B           0 B            62            --  
                               _insert_resampled_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     159.232us         0.01%     159.232us       2.699us           0 B           0 B           0 B           0 B            59            --  
                                 aten::_index_put_impl_         0.13%       3.191ms         0.24%       5.986ms      96.543us     158.623us         0.01%     158.623us       2.558us           0 B           0 B           0 B           0 B            62            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     158.623us         0.01%     158.623us       2.558us           0 B           0 B           0 B           0 B            62            --  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 4, true...         0.00%       0.000us         0.00%       0.000us       0.000us     153.919us         0.01%     153.919us       2.483us           0 B           0 B           0 B           0 B            62            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     150.179us         0.01%     150.179us       1.211us           0 B           0 B           0 B           0 B           124            --  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     137.025us         0.01%     137.025us       2.210us           0 B           0 B           0 B           0 B            62            --  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us     115.904us         0.00%     115.904us       1.869us           0 B           0 B           0 B           0 B            62            --  
