-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.744ms         1.63%      38.744ms      38.744ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.737ms         1.63%      38.737ms      38.737ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.728ms         1.63%      38.728ms      38.728ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.726ms         1.63%      38.726ms      38.726ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.700ms         1.63%      38.700ms      38.700ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.686ms         1.63%      38.686ms      38.686ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.684ms         1.62%      38.684ms      38.684ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.678ms         1.62%      38.678ms      38.678ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.669ms         1.62%      38.669ms      38.669ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.666ms         1.62%      38.666ms      38.666ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.644ms         1.62%      38.644ms      38.644ms           0 B           0 B           0 B           0 B             1  
execute_1_context_0(sq0sk0sqsq0sqsk0)_generation_1(s...         0.00%       0.000us         0.00%       0.000us       0.000us      38.638ms         1.62%      38.638ms      38.638ms           0 B           0 B           0 B           0 B             1  
